Date : 2025-12-18 15:55:01
Directory : /home/lennart-k-hler/projects/dolphin
Total : 566 files,  240691 codes, 33371 comments, 50841 blanks, all 324903 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| build/Testing/20251208-1054                                                                                                         |          1 |         34 |          0 |          1 |         35 |
| build/Testing/20251209-0838                                                                                                         |          1 |         34 |          0 |          1 |         35 |
| build/Testing/20251210-0851                                                                                                         |          1 |         34 |          0 |          1 |         35 |
| build/Testing/20251211-0848                                                                                                         |          1 |         34 |          0 |          1 |         35 |
| build/Testing/20251212-0903                                                                                                         |          1 |         34 |          0 |          1 |         35 |
| build/Testing/20251215-0920                                                                                                         |          1 |         34 |          0 |          1 |         35 |
| build/Testing/20251216-0919                                                                                                         |          1 |         62 |          0 |          1 |         63 |
| build/Testing/20251218-0919                                                                                                         |          1 |         34 |          0 |          1 |         35 |
| build/Testing/Temporary                                                                                                             |         16 |         88 |          0 |         23 |        111 |
| build/backends                                                                                                                      |         18 |        547 |        150 |        224 |        921 |
| build/backends/cpu                                                                                                                  |          6 |        174 |         49 |         72 |        295 |
| build/backends/cpu (Files)                                                                                                          |          2 |        133 |         49 |         57 |        239 |
| build/backends/cpu/CMakeFiles                                                                                                       |          4 |         41 |          0 |         15 |         56 |
| build/backends/cpu/CMakeFiles (Files)                                                                                               |          1 |         12 |          0 |          5 |         17 |
| build/backends/cpu/CMakeFiles/cpu_backend.dir                                                                                       |          3 |         29 |          0 |         10 |         39 |
| build/backends/cuda                                                                                                                 |          6 |        199 |         52 |         80 |        331 |
| build/backends/cuda (Files)                                                                                                         |          2 |        155 |         52 |         65 |        272 |
| build/backends/cuda/CMakeFiles                                                                                                      |          4 |         44 |          0 |         15 |         59 |
| build/backends/cuda/CMakeFiles (Files)                                                                                              |          1 |         12 |          0 |          5 |         17 |
| build/backends/cuda/CMakeFiles/cuda_backend.dir                                                                                     |          3 |         32 |          0 |         10 |         42 |
| build/backends/openmp                                                                                                               |          6 |        174 |         49 |         72 |        295 |
| build/backends/openmp (Files)                                                                                                       |          2 |        133 |         49 |         57 |        239 |
| build/backends/openmp/CMakeFiles                                                                                                    |          4 |         41 |          0 |         15 |         56 |
| build/backends/openmp/CMakeFiles (Files)                                                                                            |          1 |         12 |          0 |          5 |         17 |
| build/backends/openmp/CMakeFiles/openmp_backend.dir                                                                                 |          3 |         29 |          0 |         10 |         39 |
| build/cube                                                                                                                          |          6 |        258 |         61 |         96 |        415 |
| build/cube/build                                                                                                                    |          6 |        258 |         61 |         96 |        415 |
| build/cube/build (Files)                                                                                                            |          2 |        205 |         61 |         81 |        347 |
| build/cube/build/CMakeFiles                                                                                                         |          4 |         53 |          0 |         15 |         68 |
| build/cube/build/CMakeFiles (Files)                                                                                                 |          1 |         12 |          0 |          5 |         17 |
| build/cube/build/CMakeFiles/CUBE.dir                                                                                                |          3 |         41 |          0 |         10 |         51 |
| build/tests                                                                                                                         |         38 |        810 |        140 |        291 |      1,241 |
| build/tests (Files)                                                                                                                 |          3 |        236 |         67 |         87 |        390 |
| build/tests/CMakeFiles                                                                                                              |         16 |        160 |          0 |         55 |        215 |
| build/tests/CMakeFiles (Files)                                                                                                      |          1 |         12 |          0 |          5 |         17 |
| build/tests/CMakeFiles/cufft_vs_fftw_comparison.dir                                                                                 |          3 |         29 |          0 |         10 |         39 |
| build/tests/CMakeFiles/dolphin_tests.dir                                                                                            |          3 |         32 |          0 |         10 |         42 |
| build/tests/CMakeFiles/fftw_multithreading_test.dir                                                                                 |          3 |         29 |          0 |         10 |         39 |
| build/tests/CMakeFiles/fftw_size_decomposition_test.dir                                                                             |          3 |         29 |          0 |         10 |         39 |
| build/tests/CMakeFiles/tiff_generation_test.dir                                                                                     |          3 |         29 |          0 |         10 |         39 |
| build/tests/backends                                                                                                                |         19 |        414 |         73 |        149 |        636 |
| build/tests/backends (Files)                                                                                                        |          3 |        257 |         73 |         94 |        424 |
| build/tests/backends/CMakeFiles                                                                                                     |         16 |        157 |          0 |         55 |        212 |
| build/tests/backends/CMakeFiles (Files)                                                                                             |          1 |         12 |          0 |          5 |         17 |
| build/tests/backends/CMakeFiles/cpu_test.dir                                                                                        |          3 |         29 |          0 |         10 |         39 |
| build/tests/backends/CMakeFiles/cuda_test.dir                                                                                       |          3 |         29 |          0 |         10 |         39 |
| build/tests/backends/CMakeFiles/cufft_vs_fftw_comparison.dir                                                                        |          3 |         29 |          0 |         10 |         39 |
| build/tests/backends/CMakeFiles/fft_performance_test.dir                                                                            |          3 |         29 |          0 |         10 |         39 |
| build/tests/backends/CMakeFiles/openmp_test.dir                                                                                     |          3 |         29 |          0 |         10 |         39 |
| configs                                                                                                                             |          4 |        182 |          0 |         43 |        225 |
| docs                                                                                                                                |          6 |     10,610 |          0 |      2,543 |     13,153 |
| grid_vis                                                                                                                            |          1 |         48 |         10 |         16 |         74 |
| include                                                                                                                             |         71 |      2,749 |        781 |        942 |      4,472 |
| include (Files)                                                                                                                     |         19 |      1,111 |        404 |        369 |      1,884 |
| include/IO                                                                                                                          |          2 |         85 |         29 |         26 |        140 |
| include/backend                                                                                                                     |          6 |        327 |        118 |        123 |        568 |
| include/deconvolution                                                                                                               |         21 |        612 |        196 |        195 |      1,003 |
| include/deconvolution (Files)                                                                                                       |          6 |        190 |        126 |         70 |        386 |
| include/deconvolution/algorithms                                                                                                    |          7 |        104 |          4 |         33 |        141 |
| include/deconvolution/deconvolutionStrategies                                                                                       |          8 |        318 |         66 |         92 |        476 |
| include/frontend                                                                                                                    |         13 |        330 |          6 |        111 |        447 |
| include/frontend (Files)                                                                                                            |          3 |         74 |          3 |         23 |        100 |
| include/frontend/gui                                                                                                                |         10 |        256 |          3 |         88 |        347 |
| include/frontend/gui (Files)                                                                                                        |          4 |        130 |          2 |         47 |        179 |
| include/frontend/gui/windows                                                                                                        |          6 |        126 |          1 |         41 |        168 |
| include/psf                                                                                                                         |         10 |        284 |         28 |        118 |        430 |
| include/psf (Files)                                                                                                                 |          2 |        103 |          4 |         30 |        137 |
| include/psf/configs                                                                                                                 |          3 |         69 |         12 |         46 |        127 |
| include/psf/generators                                                                                                              |          5 |        112 |         12 |         42 |        166 |
| legacy                                                                                                                              |          8 |      2,361 |        321 |        608 |      3,290 |
| legacy (Files)                                                                                                                      |          4 |        563 |        120 |        125 |        808 |
| legacy/unused                                                                                                                       |          4 |      1,798 |        201 |        483 |      2,482 |
| lib                                                                                                                                 |        206 |    110,395 |     29,040 |     18,296 |    157,731 |
| lib (Files)                                                                                                                         |          1 |         60 |          0 |         21 |         81 |
| lib/CLI                                                                                                                             |          1 |      7,937 |      1,515 |      1,515 |     10,967 |
| lib/cube                                                                                                                            |         11 |      2,447 |        520 |        735 |      3,702 |
| lib/cube (Files)                                                                                                                    |          2 |        234 |          0 |         75 |        309 |
| lib/cube/include                                                                                                                    |          4 |        150 |         20 |         28 |        198 |
| lib/cube/src                                                                                                                        |          5 |      2,063 |        500 |        632 |      3,195 |
| lib/cube/src (Files)                                                                                                                |          3 |      1,177 |        311 |        435 |      1,923 |
| lib/cube/src/kernels                                                                                                                |          2 |        886 |        189 |        197 |      1,272 |
| lib/imgui                                                                                                                           |        165 |     73,966 |     20,976 |     11,418 |    106,360 |
| lib/imgui (Files)                                                                                                                   |         11 |     47,278 |     11,571 |      6,763 |     65,612 |
| lib/imgui-filebrowser                                                                                                               |          2 |      1,180 |         48 |        217 |      1,445 |
| lib/imgui/.github                                                                                                                   |          7 |        150 |          9 |         23 |        182 |
| lib/imgui/.github (Files)                                                                                                           |          2 |          5 |          0 |          6 |         11 |
| lib/imgui/.github/ISSUE_TEMPLATE                                                                                                    |          2 |         89 |          0 |          6 |         95 |
| lib/imgui/.github/workflows                                                                                                         |          3 |         56 |          9 |         11 |         76 |
| lib/imgui/backends                                                                                                                  |         47 |     12,527 |      2,972 |      1,863 |     17,362 |
| lib/imgui/backends (Files)                                                                                                          |         42 |     12,460 |      2,968 |      1,845 |     17,273 |
| lib/imgui/backends/sdlgpu3                                                                                                          |          2 |         33 |          0 |          8 |         41 |
| lib/imgui/backends/vulkan                                                                                                           |          3 |         34 |          4 |         10 |         48 |
| lib/imgui/docs                                                                                                                      |          6 |      1,766 |          0 |        556 |      2,322 |
| lib/imgui/examples                                                                                                                  |         87 |     11,243 |      6,188 |      1,990 |     19,421 |
| lib/imgui/examples/example_allegro5                                                                                                 |          4 |        296 |         52 |         36 |        384 |
| lib/imgui/examples/example_android_opengl3                                                                                          |          4 |        296 |         72 |         83 |        451 |
| lib/imgui/examples/example_android_opengl3 (Files)                                                                                  |          2 |        274 |         72 |         78 |        424 |
| lib/imgui/examples/example_android_opengl3/android                                                                                  |          2 |         22 |          0 |          5 |         27 |
| lib/imgui/examples/example_android_opengl3/android (Files)                                                                          |          1 |          1 |          0 |          1 |          2 |
| lib/imgui/examples/example_android_opengl3/android/app                                                                              |          1 |         21 |          0 |          4 |         25 |
| lib/imgui/examples/example_android_opengl3/android/app/src                                                                          |          1 |         21 |          0 |          4 |         25 |
| lib/imgui/examples/example_android_opengl3/android/app/src/main                                                                     |          1 |         21 |          0 |          4 |         25 |
| lib/imgui/examples/example_apple_metal                                                                                              |          5 |        365 |         53 |         86 |        504 |
| lib/imgui/examples/example_apple_metal (Files)                                                                                      |          3 |        247 |         51 |         84 |        382 |
| lib/imgui/examples/example_apple_metal/iOS                                                                                          |          1 |         26 |          1 |          1 |         28 |
| lib/imgui/examples/example_apple_metal/macOS                                                                                        |          1 |         92 |          1 |          1 |         94 |
| lib/imgui/examples/example_apple_opengl2                                                                                            |          2 |        175 |         45 |         59 |        279 |
| lib/imgui/examples/example_glfw_metal                                                                                               |          2 |        131 |         47 |         47 |        225 |
| lib/imgui/examples/example_glfw_opengl2                                                                                             |          3 |        318 |         74 |         48 |        440 |
| lib/imgui/examples/example_glfw_opengl3                                                                                             |          3 |        359 |         83 |         50 |        492 |
| lib/imgui/examples/example_glfw_vulkan                                                                                              |          4 |        662 |         99 |         96 |        857 |
| lib/imgui/examples/example_glfw_wgpu                                                                                                |          3 |        368 |         53 |         73 |        494 |
| lib/imgui/examples/example_glut_opengl2                                                                                             |          3 |        311 |         70 |         46 |        427 |
| lib/imgui/examples/example_null                                                                                                     |          2 |         83 |         24 |         25 |        132 |
| lib/imgui/examples/example_sdl2_directx11                                                                                           |          2 |        356 |         54 |         37 |        447 |
| lib/imgui/examples/example_sdl2_metal                                                                                               |          2 |        142 |         50 |         46 |        238 |
| lib/imgui/examples/example_sdl2_opengl2                                                                                             |          4 |        361 |         68 |         56 |        485 |
| lib/imgui/examples/example_sdl2_opengl3                                                                                             |          4 |        428 |         82 |         66 |        576 |
| lib/imgui/examples/example_sdl2_sdlrenderer2                                                                                        |          4 |        360 |         69 |         55 |        484 |
| lib/imgui/examples/example_sdl2_vulkan                                                                                              |          3 |        644 |         98 |         86 |        828 |
| lib/imgui/examples/example_sdl3_metal                                                                                               |          2 |        157 |         54 |         47 |        258 |
| lib/imgui/examples/example_sdl3_opengl3                                                                                             |          4 |        409 |         77 |         61 |        547 |
| lib/imgui/examples/example_sdl3_sdlgpu3                                                                                             |          3 |        366 |         70 |         57 |        493 |
| lib/imgui/examples/example_sdl3_sdlrenderer3                                                                                        |          3 |        345 |         65 |         46 |        456 |
| lib/imgui/examples/example_sdl3_vulkan                                                                                              |          3 |        642 |         97 |         88 |        827 |
| lib/imgui/examples/example_win32_directx10                                                                                          |          2 |        358 |         56 |         42 |        456 |
| lib/imgui/examples/example_win32_directx11                                                                                          |          2 |        360 |         56 |         42 |        458 |
| lib/imgui/examples/example_win32_directx12                                                                                          |          2 |        586 |         64 |         78 |        728 |
| lib/imgui/examples/example_win32_directx9                                                                                           |          2 |        355 |         54 |         40 |        449 |
| lib/imgui/examples/example_win32_opengl3                                                                                            |          2 |        332 |         51 |         37 |        420 |
| lib/imgui/examples/example_win32_vulkan                                                                                             |          2 |        588 |         81 |         69 |        738 |
| lib/imgui/examples/libs                                                                                                             |          6 |      1,090 |      4,370 |        388 |      5,848 |
| lib/imgui/examples/libs/emscripten                                                                                                  |          2 |         76 |         26 |          3 |        105 |
| lib/imgui/examples/libs/glfw                                                                                                        |          2 |        552 |      3,913 |        220 |      4,685 |
| lib/imgui/examples/libs/glfw/include                                                                                                |          2 |        552 |      3,913 |        220 |      4,685 |
| lib/imgui/examples/libs/glfw/include/GLFW                                                                                           |          2 |        552 |      3,913 |        220 |      4,685 |
| lib/imgui/examples/libs/usynergy                                                                                                    |          2 |        462 |        431 |        165 |      1,058 |
| lib/imgui/misc                                                                                                                      |          7 |      1,002 |        236 |        223 |      1,461 |
| lib/imgui/misc/cpp                                                                                                                  |          2 |         74 |         18 |         23 |        115 |
| lib/imgui/misc/fonts                                                                                                                |          1 |        313 |         48 |         64 |        425 |
| lib/imgui/misc/freetype                                                                                                             |          3 |        598 |        162 |        131 |        891 |
| lib/imgui/misc/single_file                                                                                                          |          1 |         17 |          8 |          5 |         30 |
| lib/implot3d                                                                                                                        |         25 |      7,352 |      1,639 |      1,418 |     10,409 |
| lib/implot3d (Files)                                                                                                                |          7 |      6,243 |      1,239 |      1,248 |      8,730 |
| lib/implot3d/.github                                                                                                                |         16 |        967 |        378 |        145 |      1,490 |
| lib/implot3d/.github (Files)                                                                                                        |          2 |         46 |          0 |         13 |         59 |
| lib/implot3d/.github/ISSUE_TEMPLATE                                                                                                 |          3 |         25 |          0 |          3 |         28 |
| lib/implot3d/.github/scripts                                                                                                        |          5 |        646 |        376 |         92 |      1,114 |
| lib/implot3d/.github/scripts/readme_svgs                                                                                            |          5 |        646 |        376 |         92 |      1,114 |
| lib/implot3d/.github/workflows                                                                                                      |          6 |        250 |          2 |         37 |        289 |
| lib/implot3d/example                                                                                                                |          2 |        142 |         22 |         25 |        189 |
| lib/nlohmann                                                                                                                        |          1 |     17,453 |      4,342 |      2,972 |     24,767 |
| src                                                                                                                                 |         57 |      4,965 |      1,759 |      1,604 |      8,328 |
| src (Files)                                                                                                                         |          8 |        733 |        254 |        269 |      1,256 |
| src/IO                                                                                                                              |          2 |        652 |        303 |        203 |      1,158 |
| src/backend                                                                                                                         |          2 |        133 |         36 |         40 |        209 |
| src/deconvolution                                                                                                                   |         17 |      1,319 |        429 |        450 |      2,198 |
| src/deconvolution (Files)                                                                                                           |          5 |        456 |        252 |        192 |        900 |
| src/deconvolution/algorithms                                                                                                        |          6 |        212 |        136 |        103 |        451 |
| src/deconvolution/deconvolutionStrategies                                                                                           |          6 |        651 |         41 |        155 |        847 |
| src/frontend                                                                                                                        |         12 |        834 |        284 |        278 |      1,396 |
| src/frontend (Files)                                                                                                                |          2 |        226 |         66 |         58 |        350 |
| src/frontend/gui                                                                                                                    |         10 |        608 |        218 |        220 |      1,046 |
| src/frontend/gui (Files)                                                                                                            |          4 |        353 |        114 |        109 |        576 |
| src/frontend/gui/windows                                                                                                            |          6 |        255 |        104 |        111 |        470 |
| src/hyperstack                                                                                                                      |          5 |        283 |        120 |         70 |        473 |
| src/psf                                                                                                                             |          8 |        581 |        216 |        186 |        983 |
| src/psf (Files)                                                                                                                     |          1 |        177 |         52 |         47 |        276 |
| src/psf/configs                                                                                                                     |          3 |        122 |         48 |         36 |        206 |
| src/psf/generators                                                                                                                  |          4 |        282 |        116 |        103 |        501 |
| src/utilities                                                                                                                       |          3 |        430 |        117 |        108 |        655 |
| tests                                                                                                                               |         18 |      1,809 |        265 |        560 |      2,634 |
| tests (Files)                                                                                                                       |          9 |        969 |        135 |        314 |      1,418 |
| tests/backends                                                                                                                      |          7 |        667 |         76 |        204 |        947 |
| tests/labeledImage                                                                                                                  |          2 |        173 |         54 |         42 |        269 |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                            | language         | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /home/lennart-k-hler/projects/dolphin/.idea/deconvtool.iml                                                                          | XML              |          2 |          0 |          0 |          2 |
| /home/lennart-k-hler/projects/dolphin/.idea/editor.xml                                                                              | XML              |        580 |          0 |          0 |        580 |
| /home/lennart-k-hler/projects/dolphin/.idea/misc.xml                                                                                | XML              |         13 |          0 |          0 |         13 |
| /home/lennart-k-hler/projects/dolphin/.idea/modules.xml                                                                             | XML              |          8 |          0 |          0 |          8 |
| /home/lennart-k-hler/projects/dolphin/.idea/vcs.xml                                                                                 | XML              |          7 |          0 |          0 |          7 |
| /home/lennart-k-hler/projects/dolphin/.roo/rules-architect/AGENTS.md                                                                | Markdown         |        139 |          0 |         34 |        173 |
| /home/lennart-k-hler/projects/dolphin/.roo/rules-ask/AGENTS.md                                                                      | Markdown         |         44 |          0 |         24 |         68 |
| /home/lennart-k-hler/projects/dolphin/.roo/rules-code/AGENTS.md                                                                     | Markdown         |        107 |          0 |         25 |        132 |
| /home/lennart-k-hler/projects/dolphin/.roo/rules-debug/AGENTS.md                                                                    | Markdown         |         80 |          0 |         20 |        100 |
| /home/lennart-k-hler/projects/dolphin/AGENTS.md                                                                                     | Markdown         |        100 |          0 |         29 |        129 |
| /home/lennart-k-hler/projects/dolphin/CMakeLists.txt                                                                                | CMake            |        205 |          0 |         50 |        255 |
| /home/lennart-k-hler/projects/dolphin/NOTES.md                                                                                      | Markdown         |         17 |          0 |         10 |         27 |
| /home/lennart-k-hler/projects/dolphin/README.md                                                                                     | Markdown         |        159 |          0 |         41 |        200 |
| /home/lennart-k-hler/projects/dolphin/TODO.md                                                                                       | Markdown         |         61 |          0 |         54 |        115 |
| /home/lennart-k-hler/projects/dolphin/Testing/Temporary/LastTest.log                                                                | Log              |          3 |          0 |          1 |          4 |
| /home/lennart-k-hler/projects/dolphin/backends/cpu/CMakeLists.txt                                                                   | CMake            |         41 |          0 |          9 |         50 |
| /home/lennart-k-hler/projects/dolphin/backends/cpu/CPUBackend.cpp                                                                   | C++              |        591 |         45 |        133 |        769 |
| /home/lennart-k-hler/projects/dolphin/backends/cpu/CPUBackend.h                                                                     | C++              |        185 |         38 |         66 |        289 |
| /home/lennart-k-hler/projects/dolphin/backends/cuda/CMakeLists.txt                                                                  | CMake            |         26 |          0 |         11 |         37 |
| /home/lennart-k-hler/projects/dolphin/backends/cuda/CUDABackend.cpp                                                                 | C++              |        378 |         34 |        123 |        535 |
| /home/lennart-k-hler/projects/dolphin/backends/cuda/CUDABackend.h                                                                   | C++              |        192 |         44 |         62 |        298 |
| /home/lennart-k-hler/projects/dolphin/backends/cuda/CUDABackendManager.cpp                                                          | C++              |         88 |          8 |         29 |        125 |
| /home/lennart-k-hler/projects/dolphin/backends/cuda/CUDABackendManager.h                                                            | C++              |         44 |         49 |         18 |        111 |
| /home/lennart-k-hler/projects/dolphin/backends/openmp/CMakeLists.txt                                                                | CMake            |         35 |          0 |          9 |         44 |
| /home/lennart-k-hler/projects/dolphin/backends/openmp/OpenMPBackend.cpp                                                             | C++              |        672 |         61 |        147 |        880 |
| /home/lennart-k-hler/projects/dolphin/backends/openmp/OpenMPBackend.h                                                               | C++              |        187 |         38 |         64 |        289 |
| /home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/query/client-vscode/query.json                                            | JSON             |          1 |          0 |          0 |          1 |
| /home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/cache-v2-62c4d000bc5ce89e3e87.json                                  | JSON             |      4,519 |          0 |          1 |      4,520 |
| /home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/cmakeFiles-v1-41f5907d8e87748cd5b0.json                             | JSON             |        508 |          0 |          1 |        509 |
| /home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/codemodel-v2-ed0ea0b6518aa405cc91.json                              | JSON             |        354 |          0 |          1 |        355 |
| /home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/directory-.-Debug-f5ebdc15457944623624.json                         | JSON             |         14 |          0 |          1 |         15 |
| /home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/directory-backends.cpu-Debug-1420a3450912eedca3ba.json              | JSON             |         14 |          0 |          1 |         15 |
| /home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/directory-backends.cuda-Debug-6ac5b8aa9a84663297a6.json             | JSON             |         14 |          0 |          1 |         15 |
| /home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/directory-backends.openmp-Debug-d3eca7dd4c690a4c5cce.json           | JSON             |         14 |          0 |          1 |         15 |
| /home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/directory-cube.build-Debug-d5d82b94a20bc9c7ae42.json                | JSON             |         14 |          0 |          1 |         15 |
| /home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/directory-tests-Debug-b01f6abb0ab61427ef3b.json                     | JSON             |         14 |          0 |          1 |         15 |
| /home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/directory-tests.backends-Debug-ec58848a681ed07a6361.json            | JSON             |         14 |          0 |          1 |         15 |
| /home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/index-2025-12-18T14-54-47-0968.json                                 | JSON             |        132 |          0 |          1 |        133 |
| /home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-CUBE-Debug-c590cad71608d819500b.json                         | JSON             |        402 |          0 |          1 |        403 |
| /home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-backendlib-Debug-d77c5ef4af892bb5a5c1.json                   | JSON             |        117 |          0 |          1 |        118 |
| /home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-cpu_backend-Debug-1a12fec629bf3947511e.json                  | JSON             |        227 |          0 |          1 |        228 |
| /home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-cpu_test-Debug-fe8f7c353ddba7e83020.json                     | JSON             |        420 |          0 |          1 |        421 |
